Symbol,5 Day,20 Day,50 Day,100 Day,200 Day,Ratio,Group
MLGO,250.76,210.4,565.58,202.21,-103.18,0.0024,Leaders
RGC,119.99,798.8,703.33,782.42,784.25,0.0071,Leaders
TNXP,85.78,251.5,19.89,80.17,-102.64,0.0053,Leaders
GDHG,68.66,112.12,-26.18,-8.14,-91.58,0.0003,Leaders
AEVA,67.66,27.69,7.18,17.74,44.4,0.0008,Leaders
AMPX,46.35,21.88,11.46,141.57,141.0,0.0006,Leaders
PRA,45.79,67.74,55.32,55.1,56.9,0.004,Leaders
PHAT,33.7,26.26,-3.21,-58.49,-45.78,0.0011,Leaders
ALUR,33.67,5.68,-49.8,-81.14,-99.86,0.0006,Leaders
OUST,30.45,39.52,-8.21,49.57,-9.71,0.0019,Leaders
NEXT,28.44,24.97,23.13,61.35,9.17,0.0016,Leaders
GOGO,25.42,5.46,10.85,15.34,-31.67,0.0014,Leaders
SIG,25.09,23.84,-15.19,-32.6,-51.55,0.0106,Leaders
JYD,23.18,32.03,142.94,461.62,603.41,0.0008,Leaders
RGNX,22.66,29.15,7.49,-6.25,-48.25,0.0015,Leaders
SSP,21.24,82.7,29.35,29.04,4.62,0.0005,Leaders
NFE,20.69,15.71,-12.42,42.13,-56.96,0.0021,Leaders
NIU,19.17,86.36,144.83,87.48,107.33,0.0007,Leaders
CRVO,16.71,381.73,393.83,-21.13,-52.72,0.0019,Leaders
OPFI,16.53,3.6,35.51,117.13,226.28,0.0019,Leaders
CPRX,16.39,24.73,15.44,20.64,51.47,0.0045,Leaders
W,16.31,-4.66,-13.93,-14.01,-41.84,0.0066,Leaders
ALLT,15.52,6.93,-2.99,98.1,210.16,0.0012,Leaders
AZEK,15.47,8.53,7.59,14.82,-1.5,0.0084,Leaders
TSLA,15.34,-12.17,-26.96,4.12,50.29,0.0483,Leaders
SEI,15.14,-25.34,-14.87,80.48,178.46,0.0041,Leaders
XERS,15.07,59.72,77.25,84.14,144.02,0.001,Leaders
ROOT,15.01,82.48,132.06,370.65,249.17,0.0308,Leaders
ROKU,15.0,-7.37,0.41,8.62,31.58,0.0141,Leaders
LUNR,14.93,-42.06,-48.39,16.09,79.16,0.0016,Leaders
CELH,14.91,14.79,22.78,10.87,-60.16,0.006,Leaders
GENI,14.83,30.07,26.59,55.75,106.62,0.0019,Leaders
SPCE,14.8,1.66,-28.98,-42.0,-85.65,0.0007,Leaders
GLNG,14.41,6.41,-0.23,9.01,51.73,0.0071,Leaders
HOOD,13.46,0.46,21.05,79.41,123.72,0.0084,Leaders
CAVA,13.31,-9.72,-18.63,-32.93,-6.75,0.0157,Leaders
ADPT,13.23,6.46,31.99,95.3,146.46,0.0015,Leaders
ALNY,13.22,20.38,23.39,2.75,85.11,0.0504,Leaders
HNRG,13.09,26.57,11.12,28.69,44.32,0.0023,Leaders
CVNA,12.92,2.67,10.99,6.18,102.31,0.037,Leaders
COHR,12.88,-0.77,-15.55,-19.26,7.42,0.0133,Leaders
RH,12.8,-21.92,-34.3,-20.13,-13.3,0.0447,Leaders
DBI,12.66,-5.02,-19.94,-22.52,-59.76,0.0007,Leaders
MSTR,12.46,22.33,3.76,43.96,95.86,0.0582,Leaders
REAL,12.18,2.0,-20.02,131.41,65.68,0.0012,Leaders
BROS,12.11,-2.85,27.9,98.98,88.56,0.0122,Leaders
MLYS,12.08,78.42,46.92,19.51,15.38,0.0028,Leaders
AQST,12.01,13.4,6.38,-40.1,1.17,0.0006,Leaders
ANAB,11.7,12.38,32.84,-40.89,-30.15,0.0032,Leaders
SHOP,11.51,-1.76,4.07,38.94,71.09,0.0189,Leaders
CNNE,11.39,2.04,2.28,0.7,-1.71,0.0033,Leaders
BWIN,11.34,20.2,28.29,-8.1,20.0,0.0079,Leaders
SRAD,11.29,11.29,26.41,87.31,112.48,0.004,Leaders
EYE,11.22,20.33,31.67,39.72,-20.16,0.0024,Leaders
BBIO,11.12,6.28,28.93,56.82,28.19,0.0065,Leaders
SPRY,11.05,22.63,15.32,-12.03,35.18,0.0022,Leaders
MARA,11.02,8.79,-17.79,-13.66,-37.8,0.0025,Leaders
GRPN,10.95,54.4,49.76,76.21,10.69,0.0031,Leaders
RIOT,10.74,-9.11,-24.91,-8.85,-18.82,0.0015,Leaders
ARIS,10.58,26.94,42.58,118.73,113.46,0.0056,Leaders
DUOL,10.55,-11.76,4.67,13.86,62.28,0.0572,Leaders
NN,10.5,17.13,1.54,22.57,60.01,0.0022,Leaders
DOMH,10.41,-23.97,386.69,221.65,156.72,0.001,Leaders
CALX,10.2,1.61,0.37,-1.09,-3.79,0.0065,Leaders
PLAY,10.15,-8.49,-25.43,-42.69,-67.63,0.0037,Leaders
BA,10.14,4.16,7.87,17.4,-13.09,0.0314,Leaders
AMRC,10.05,-25.85,-49.82,-56.99,-71.78,0.0022,Leaders
KSS,9.95,-18.65,-26.74,-47.5,-62.96,0.0016,Leaders
MMYT,9.82,10.51,-2.16,4.89,36.35,0.0186,Leaders
SOFI,9.73,-0.85,-3.16,25.54,95.17,0.0024,Leaders
DFS,9.57,-8.32,-0.38,15.82,33.29,0.0295,Leaders
DRI,9.54,10.59,16.93,32.11,33.96,0.0362,Leaders
BTDR,9.54,-7.46,-34.75,55.41,53.94,0.002,Leaders
STRL,9.54,26.89,-17.27,-10.39,9.98,0.0232,Leaders
NVRI,9.53,8.5,-13.59,-28.74,-32.4,0.0012,Leaders
STNE,9.46,20.79,44.58,-0.52,-24.27,0.002,Leaders
PTON,9.45,-12.83,-12.63,17.26,93.21,0.0013,Leaders
AISP,9.4,-2.41,2.11,130.65,17.89,0.0008,Leaders
VSAT,9.38,26.71,27.02,10.08,-39.06,0.0019,Leaders
PUMP,9.34,-11.5,-21.71,-1.37,-23.14,0.0013,Leaders
TIGR,9.16,28.15,44.05,43.35,109.02,0.0015,Leaders
GEO,9.14,17.18,-3.73,92.4,83.98,0.005,Leaders
PLTR,9.13,10.3,44.35,116.37,328.78,0.0168,Leaders
APP,9.08,-13.63,5.74,110.88,307.12,0.0589,Leaders
RIVN,8.99,5.53,-11.67,17.35,-0.35,0.0021,Leaders
WTTR,8.94,-8.94,-18.28,-2.36,-2.24,0.0018,Leaders
COMM,8.85,24.19,14.52,-6.05,270.08,0.001,Leaders
OKLO,8.76,-5.7,20.88,62.45,251.68,0.0054,Leaders
TARS,8.63,18.58,-2.67,33.56,49.62,0.0091,Leaders
UPST,8.56,-18.18,-4.34,9.71,115.97,0.0096,Leaders
DNOW,8.35,2.65,30.94,40.3,13.26,0.0029,Leaders
ALLY,8.33,6.26,9.73,12.54,-6.85,0.0066,Leaders
AUR,7.98,12.59,-2.61,19.89,251.38,0.0013,Leaders
AFRM,7.92,-17.4,-7.9,29.79,65.32,0.0091,Leaders
COF,7.81,-5.93,3.24,13.54,26.93,0.0314,Leaders
GEL,7.7,33.46,56.4,25.18,22.3,0.0027,Leaders
BFH,7.67,-1.86,-8.72,7.59,20.37,0.0091,Leaders
WGS,7.61,12.23,9.4,76.13,319.17,0.0179,Leaders
BILL,7.54,-0.92,-35.81,-6.46,-6.91,0.0088,Leaders
QUBT,7.47,31.16,-9.16,703.45,1148.18,0.0015,Leaders
ORGO,7.43,74.04,75.71,94.27,106.94,0.0009,Leaders
PRCH,7.43,78.16,49.13,436.64,248.29,0.0012,Leaders
URBN,7.41,2.81,-3.62,53.04,19.52,0.0093,Leaders
PCT,7.35,-13.01,-13.9,-41.72,46.15,0.0014,Leaders
GME,7.35,6.04,-19.75,25.2,-12.36,0.0044,Leaders
GH,7.32,13.74,30.29,128.59,57.99,0.0081,Leaders
CLS,7.31,-6.23,0.12,44.8,80.68,0.0173,Leaders
CTOS,7.25,18.56,16.99,59.65,3.2,0.0009,Leaders
APLD,7.23,-7.81,-5.67,0.08,79.0,0.0014,Leaders
FLWS,7.23,-16.66,-14.53,-23.0,-46.75,0.001,Leaders
AMD,7.22,8.91,-4.01,-26.43,-37.84,0.0197,Leaders
DNB,7.21,1.57,-19.71,-15.94,-12.53,0.0016,Leaders
ADMA,7.21,34.53,12.03,29.22,92.39,0.0035,Leaders
EAT,7.2,4.31,13.03,63.15,106.11,0.0267,Leaders
OMF,7.18,3.28,5.21,18.8,8.97,0.0092,Leaders
APH,7.17,7.1,-0.73,1.02,-1.46,0.012,Leaders
BTU,6.99,0.66,-20.82,-39.43,-47.69,0.0025,Leaders
IMAX,6.98,6.35,17.06,32.42,64.35,0.0047,Leaders
TME,6.95,12.85,32.4,24.11,-7.71,0.0025,Leaders
UAL,6.89,-14.35,-20.11,8.17,44.27,0.0139,Leaders
ALHC,6.89,31.7,48.53,58.85,113.42,0.003,Leaders
MODG,6.85,6.74,-17.48,-28.86,-64.36,0.0012,Leaders
OWL,6.82,2.64,-3.99,-3.98,18.72,0.0037,Leaders
LUV,6.81,19.38,9.14,20.41,19.31,0.006,Leaders
JBL,6.77,-2.13,0.01,21.07,22.56,0.026,Leaders
SHAK,6.77,-13.81,-25.56,-12.86,-4.86,0.0166,Leaders
PGY,6.73,-4.72,39.55,4.36,2.97,0.0022,Leaders
TSSI,6.7,-13.87,-11.36,43.05,411.51,0.0018,Leaders
SG,6.7,19.17,-16.38,-29.58,-24.71,0.0045,Leaders
CAKE,6.68,-2.92,6.06,23.84,24.9,0.0089,Leaders
CLSK,6.62,2.37,-10.34,-22.13,-54.37,0.0015,Leaders
ZETA,6.59,-24.0,-12.71,-40.78,-8.94,0.0027,Leaders
ENVX,6.57,-6.37,-25.17,-14.38,-22.59,0.0015,Leaders
BOOT,6.49,-8.88,-27.38,-28.19,-21.68,0.0195,Leaders
FINV,6.48,21.13,50.82,62.87,100.79,0.0017,Leaders
IOT,6.38,-13.28,-2.21,-11.07,16.8,0.0073,Leaders
TERN,6.37,-2.29,-30.53,-46.68,-49.31,0.0006,Leaders
RMBS,6.37,1.46,5.68,36.03,-0.04,0.0102,Leaders
JEF,6.27,-1.0,-19.43,-1.18,30.28,0.0108,Leaders
HIMS,6.21,-23.49,47.94,72.86,70.6,0.0065,Leaders
EZPW,6.19,14.72,27.78,29.39,36.27,0.0026,Leaders
